Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DashbordPage,Chrome 112.0.0.0,,,2023-04-24 14:51:39,2023-04-24 14:53:41,2m - 1.214s,FAILED
,,,,,,,
Test Cases/AboutModalCanBeOpened,Chrome 112.0.0.0,,,2023-04-24 14:51:40,2023-04-24 14:51:50,10.060s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-24 14:51:40,2023-04-24 14:51:42,2.232s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 112.0.0.0,,,2023-04-24 14:51:42,2023-04-24 14:51:43,1.426s,PASSED
"setText(findTestObject(""Object Repository/New Folder (25)/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 112.0.0.0,,,2023-04-24 14:51:43,2023-04-24 14:51:45,1.231s,PASSED
"setEncryptedText(findTestObject(""Object Repository/New Folder (25)/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 112.0.0.0,,,2023-04-24 14:51:45,2023-04-24 14:51:45,0.458s,PASSED
"click(findTestObject(""Object Repository/New Folder (25)/Page_OrangeHRM/button_Login""))",Chrome 112.0.0.0,,,2023-04-24 14:51:45,2023-04-24 14:51:47,1.357s,PASSED
"click(findTestObject(""Object Repository/New Folder (25)/Page_OrangeHRM/p_Jesse Pinkman""))",Chrome 112.0.0.0,,,2023-04-24 14:51:47,2023-04-24 14:51:48,1.694s,PASSED
"click(findTestObject(""Object Repository/New Folder (25)/Page_OrangeHRM/a_About""))",Chrome 112.0.0.0,,,2023-04-24 14:51:48,2023-04-24 14:51:49,0.593s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/New Folder (25)/Page_OrangeHRM/div_AboutCompany Name OrangeHRMVersion Oran_32bcf2""), 20)",Chrome 112.0.0.0,,,2023-04-24 14:51:49,2023-04-24 14:51:50,0.770s,PASSED
,,,,,,,
Test Cases/AccessMyReviewsViaDashborad,Chrome 112.0.0.0,,,2023-04-24 14:51:50,2023-04-24 14:52:21,30.989s,FAILED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-24 14:51:50,2023-04-24 14:51:52,1.886s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 112.0.0.0,,,2023-04-24 14:51:52,2023-04-24 14:51:53,1.181s,PASSED
"setText(findTestObject(""Object Repository/New Folder (26)/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 112.0.0.0,,,2023-04-24 14:51:53,2023-04-24 14:51:54,1.155s,PASSED
"setEncryptedText(findTestObject(""Object Repository/New Folder (26)/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 112.0.0.0,,,2023-04-24 14:51:54,2023-04-24 14:51:55,0.529s,PASSED
"click(findTestObject(""Object Repository/New Folder (26)/Page_OrangeHRM/button_Login""))",Chrome 112.0.0.0,,,2023-04-24 14:51:55,2023-04-24 14:51:56,1.445s,PASSED
"click(findTestObject(""Object Repository/New Folder (26)/Page_OrangeHRM/p_(1) Pending Self Review""))",Chrome 112.0.0.0,,,2023-04-24 14:51:56,2023-04-24 14:51:59,2.305s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/New Folder (26)/Page_OrangeHRM/h6_My Reviews""), 20)",Chrome 112.0.0.0,,,2023-04-24 14:51:59,2023-04-24 14:52:21,21.854s,FAILED
,,,,,,,
Test Cases/AccessTimesheetViaDashboard,Chrome 112.0.0.0,,,2023-04-24 14:52:21,2023-04-24 14:52:51,29.942s,FAILED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-24 14:52:21,2023-04-24 14:52:23,1.887s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 112.0.0.0,,,2023-04-24 14:52:23,2023-04-24 14:52:24,1.084s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 112.0.0.0,,,2023-04-24 14:52:24,2023-04-24 14:52:25,1.106s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 112.0.0.0,,,2023-04-24 14:52:25,2023-04-24 14:52:25,0.407s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 112.0.0.0,,,2023-04-24 14:52:25,2023-04-24 14:52:27,1.386s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/p_(9) Timesheets to Approve""))",Chrome 112.0.0.0,,,2023-04-24 14:52:27,2023-04-24 14:52:29,2.223s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/h6_Select Employee""), 20)",Chrome 112.0.0.0,,,2023-04-24 14:52:29,2023-04-24 14:52:51,21.634s,FAILED
,,,,,,,
Test Cases/AccessTimeTabViaWatch,Chrome 112.0.0.0,,,2023-04-24 14:52:51,2023-04-24 14:53:00,9.862s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-24 14:52:51,2023-04-24 14:52:53,1.845s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 112.0.0.0,,,2023-04-24 14:52:53,2023-04-24 14:52:54,1.283s,PASSED
"setText(findTestObject(""Object Repository/New Folder (7)/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 112.0.0.0,,,2023-04-24 14:52:54,2023-04-24 14:52:55,1.147s,PASSED
"setEncryptedText(findTestObject(""Object Repository/New Folder (7)/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 112.0.0.0,,,2023-04-24 14:52:55,2023-04-24 14:52:55,0.419s,PASSED
"click(findTestObject(""Object Repository/New Folder (7)/Page_OrangeHRM/button_Login""))",Chrome 112.0.0.0,,,2023-04-24 14:52:55,2023-04-24 14:52:57,1.240s,PASSED
"click(findTestObject(""Object Repository/New Folder (7)/Page_OrangeHRM/i_Today_oxd-icon bi-stopwatch""))",Chrome 112.0.0.0,,,2023-04-24 14:52:57,2023-04-24 14:52:59,2.446s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/New Folder (7)/Page_OrangeHRM/h6_Punch In""), 20)",Chrome 112.0.0.0,,,2023-04-24 14:52:59,2023-04-24 14:53:00,1.307s,PASSED
,,,,,,,
Test Cases/AccsessRecruitmentViaDashboard,Chrome 112.0.0.0,,,2023-04-24 14:53:00,2023-04-24 14:53:11,10.571s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-24 14:53:01,2023-04-24 14:53:02,1.834s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 112.0.0.0,,,2023-04-24 14:53:02,2023-04-24 14:53:04,1.357s,PASSED
"setText(findTestObject(""Object Repository/New Folder (27)/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 112.0.0.0,,,2023-04-24 14:53:04,2023-04-24 14:53:05,1.270s,PASSED
"setEncryptedText(findTestObject(""Object Repository/New Folder (27)/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 112.0.0.0,,,2023-04-24 14:53:05,2023-04-24 14:53:06,0.439s,PASSED
"click(findTestObject(""Object Repository/New Folder (27)/Page_OrangeHRM/button_Login""))",Chrome 112.0.0.0,,,2023-04-24 14:53:06,2023-04-24 14:53:07,1.342s,PASSED
"click(findTestObject(""Object Repository/New Folder (27)/Page_OrangeHRM/p_(1) Candidate to Interview""))",Chrome 112.0.0.0,,,2023-04-24 14:53:07,2023-04-24 14:53:09,2.342s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/New Folder (27)/Page_OrangeHRM/h5_Candidates""), 20)",Chrome 112.0.0.0,,,2023-04-24 14:53:09,2023-04-24 14:53:11,1.790s,PASSED
,,,,,,,
Test Cases/BuzzPageCanBeAccessed,Chrome 112.0.0.0,,,2023-04-24 14:53:11,2023-04-24 14:53:41,29.514s,FAILED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-24 14:53:11,2023-04-24 14:53:13,1.764s,PASSED
